Location_ID,Location
1,Lesotho
2,USA
3,Canada | USA
4,England | United Kingdom | Spain
5,Peoples Republic of China | Mongolia | Russia
6,Lesotho | South Africa | Zimbabwe
7,Peoples Republic of China
8,Argentina
9,Mongolia
10,Antarctica
11,Canada
12,Germany | France
13,Peoples Republic of China | Mongolia
14,Portugal | USA
15,Egypt | Morocco
16,England | United Kingdom | USA
17,Germany | France | Switzerland
18,Germany
19,England | United Kingdom | Germany | USA | Spain | Belgium
20,France
21,India
22,Madagascar
23,Russia
24,Scotland | United Kingdom
25,South Africa
26,Uzbekistan
27,Brazil
28,Australia
29,Wales | United Kingdom
30,England | United Kingdom
31,England | United Kingdom | Niger | Romania
32,Romania
33,Tanzania | USA
34,Spain | Austria | France | Romania
35,Tanzania
36,Spain | France | Romania
37,England | United Kingdom | Portugal | France
38,Niger
39,Kazakhstan
40,Argentina | USA
41,Malawi
42,Canada | Mongolia
43,Spain | France
44,Argentina | Uruguay
45,Egypt
46,Niger | Algeria | Tunisia
47,Argentina | Chile | Uruguay
48,Spain
49,Morocco
50,Tanzania | USA | Portugal | Algeria
51,Lesotho | South Africa
52,Peoples Republic of China | Uzbekistan
53,Japan
54,Zimbabwe
55,North Africa
56,South Africa | USA | Zimbabwe
57,England | United Kingdom | France
