132	al-bert-a-serra-tops	Alberta horned face	Ryan	2007
745	MEG-ah-low-sore-us	big lizard	Ritgen	1826
905	HIGH-lee-oh-sore-us	woodland lizard	Mantell	1833
700	plat-ee-oh-sore-us	flat lizard	Meyer	1837
337	peek-i-loh-ploor-on	varied ribs	Eudes-Deslongchamps	1838
357	theek-o-don-toh-sore-us	socket-toothed lizard	Morris	1843
306	pel-oh-ROW-sore-us	monstrous lizard	Mantell	1850
583	mass-oh-SPON-di-luss	massive vertebrae	Owen	1854
889	TROH-oh-don	wounding tooth	Leidy	1856
560	ste-nop-e-liks	narrow pelvis	Meyer	1857
266	HAD-row-SORE-us	big lizard	Leidy	1858
819	Komp-sog-NATH-us	pretty jaw	Wagner	1859
285	ark-ee-OPT-er-ix	ancient wing	Mayer	1861
462	drip-toe-SORE-us	tearing lizard	Cope	1866
989	yoo-skeel-oh-sore-us	true-limbed lizard	Huxley	1866
301	skel-EYE-doh-sore-us	limb lizard	Owen	1868
455	hip-sell-oh-sore-us	high ridged lizard	Matheron	1869
908	hip-sih-LOH-foh-don	high-ridge tooth	Huxley	1869
764	RAB-doh-don	rod tooth	Matherton	1869
228	See-TEE-oh-sore-us	whale lizard	Phillips	1871
604	strew-thee-oh-sore-us	ostrich lizard	Bunzel	1871
179	AL-oh-saw-russ	other lizard	Marsh	1877
130	ah-PAT-oh-sore-us	deceptive lizard	Marsh	1877
487	KAM-ar-a-sore-us	chambered lizard	Cope	1877
567	oth-ni-ee-lee-a	[for] Othniel [Marsh]	Marsh	1877
664	STEG-oh-SORE-us	roof lizard	Marsh	1877
351	DIP-low DOCK-us	double beam	Marsh	1878
433	seel-YEW-rus	hollow tail	Marsh	1879
797	ig-WHA-noh-don	iguana tooth	Boulenger and van Beneden	1881
172	pol-a-KAN-thus	many spines	Hulke	1881
309	Keh-RAT-oh-sore-us	horned lizard	Marsh	1884
765	ANK-ee-sore-us	near lizard	Marsh	1885
440	KAMP-toe-sore-us	bent lizard	Marsh	1885
353	ploor-oh-seel-us	hollow-sided [vertebrae]	Marsh	1888
970	no-doh-SORE-us	node lizard	Marsh	1889
673	tri-SERRA-tops	three-horned face	Marsh	1889
419	BAR-oh-sore-us	heavy lizard	Marsh	1890
144	orn-ITH-oh-MEE-mus	bird mimic	Marsh	1890
669	ah-moh-SORE-us	sand lizard	Marsh	1891
562	tor-oh-SORE-us	bull lizard	Marsh	1891
446	nayoo-ken-oh-sore-us	Neuquén lizard	Lydekker	1893
794	dry-oh-SORE-us	oak lizard	Marsh	1894
624	ah-val-oh-nee-a	[for] Avalon	Seeley	1898
277	tel-ma-toh-sore-us	swamp lizard	Nopcsa	1900
943	dah-sen-troo-russ	pointed tail	Lucas	1902
961	ste-GOS-er-as	horny roof	Lambe	1902
362	zal-moks-eez	Zalmoxes (Dacian deity)	Nopcsa	1902
280	BRAK-ee-oh-sore-us	arm lizard	Riggs	1903
796	hap-lo-kan-tho-sore-us	simple-spined lizard	Hatcher	1903
483	die-ker-ah-tops	two-horned face	Lull	1905
612	tie-RAN-oh-sore-us	tyrant lizard	Osborn	1905
875	an-KIE-loh-sore-us	stiff lizard	Brown	1908
873	KRIT-oh-SORE-us	noble lizard	Brown	1910
640	proh-ker-at-oh-sore-us	before Ceratosaurus	Woodward	1910
834	sal-to-pus	hopping foot	Huene	1910
991	po-doh-kee-sore-us	swift-footed lizard	Talbot	1911
160	SORE-oh-LOAF-us	ridged lizard	Brown	1912
845	hi-pak-roh-sore-us	near-topmost lizard	Brown	1913
858	pro-comp-sog-nay-thus	before Compsognathus	Fraas	1913
714	sty-RAK-oh-sore-us	spiked lizard	Lambe	1913
449	thes-kel-oh-SORE-us	wonderful lizard	Gilmore	1913
809	al-BERT-oh-saw-russ	Alberta lizard	Lamb	1914
157	an-key-SERRA-tops	near horned lizard	Brown	1914
108	brak-ee-ker-ah-tops	short-horned face	Gilmore	1914
183	koh-rith-OH-sore-us	Corinthian helmet lizard	Brown	1914
